name	id	x_pca	y_pca	z_pca	x_tsne	y_tsne	z_tsne	x_k2	y_k2	z_k2	cl_pca	cl_tsne	cl_k2	cl_kn
held traditional beliefs about the roles that males play and the roles that females play . No female was allowed to be a minister . Only the men were allowed to occupy the seats of church leaders	367	0.0102270795	0.09427619	0.071755126	-18.741314	-2.4932008	-3.6260018	-0.43342367	0.14043126	0.094118305	13	2	-1	29
is mostly used in India , which remains to be the place where it originated . Although there are other types of cheese sold in the western countries , they are significantly different from paneer	1510	0.24536201	-0.05166363	0.010492281	18.212513	-9.603876	-5.7055616	-0.5036455	-0.49115434	-0.40638492	7	6	5	14
is the process of changing the gas phase into liquid phase	660	0.05528914	-0.028830698	0.017312307	-0.4486662	18.241241	-2.1937172	-0.56152505	0.46154186	0.6280324	-1	8	9	26
has the rosary and scapular	1668	-0.110864505	-0.0058305888	0.00763868	-6.873062	2.2662308	11.182859	0.037522092	0.36737782	-0.1901709	21	34	16	39
this	1904	0.24463096	-0.023296146	-0.02824982	11.73336	-6.486663	-1.3881898	-0.59371775	0.28869194	-0.4028987	8	7	7	13
: Miscarriage occurs in 10 - 20 % of the women who know they are pregnant	644	0.04505809	-0.0143275885	0.13382266	-10.021394	-0.8151121	-10.83221	0.13548616	0.03925045	-0.7726283	10	31	1	-1
the teach that God is governed by natural law just like man	466	0.041634597	0.037077475	-0.07056334	2.2544343	-2.661411	10.384949	0.46003285	0.50263435	-0.12479776	-1	-1	-1	-1
there are who believe ADEM should be classified as another form of multiple sclerosis due to similarities in symptoms and prognosis	978	0.050543025	-0.12656681	0.04633176	-5.1262636	13.575864	1.2138636	0.28561404	-0.108344205	0.22332108	16	27	-1	33
weather	1632	0.056767322	-0.10371308	0.03285273	-3.5806344	11.650785	1.3793217	-0.2813848	0.213532	-0.23643854	16	27	16	33
water , inorganic ions along with a small amount of organic chemicals make up the	2061	-0.03195937	0.04846524	0.047819976	-11.914001	-1.1183076	4.153769	0.40798786	0.055361006	0.17605756	-1	33	17	-1
flowers look fresher	2094	0.18233642	0.041780338	-0.00033743624	5.7740803	-10.411675	-7.524333	-0.05599098	0.49657002	-0.14942686	6	24	15	11
beliefs like visiting tombs or shrines of saints	967	-0.04271289	-0.031442754	0.022753263	-2.0508645	3.0511606	5.893763	0.49866578	-0.582835	0.5786999	-1	-1	-1	-1
the looks virtually identical to the first one , keeping the same minimalistic design	693	0.15657605	-0.0033210109	0.05394081	9.560374	-6.4031434	-16.273298	0.23307292	0.9537622	0.4447685	5	14	-1	2
, on the other hand , is a more advanced and paid version of the Reader but with additional features to create , print , and manipulate PDF files . Adobe Acrobat is literally capable of doing anything that the Reader can do and more	1971	0.19375122	-0.1040135	-0.027019938	10.452007	-1.2735504	-3.5841744	-0.5866798	0.29028678	0.129627	-1	-1	-1	-1
is the solid form of water . Ice has a rigid lattice structure , in a tetrahedral crystalline form which resembles giant molecular elements . Its appears in various forms , such as in hard amalgamated crystals like ice cubes , or loosely accumulated granules like in snow . Unlike liquid water , hydrogen bonding plays a stronger role in the density and shape of ice than the covalent bonds as the water molecules are pressed against each other very closely . This causes the repelling nature of like-like charges to overcome the forces of attraction in the structure , causing ice to exhibit the unusual characteristic of becoming less dense as it cools , where conventional wisdom declares that the lower the temperature the denser a matter becomes . The density of ice is 0.931 g/cubic cm	769	0.24977475	-0.022789774	-0.028893413	13.156835	-7.548635	-0.7147451	-0.5922359	0.104784325	-0.4030738	8	7	8	13
is what you get on a particular day	13	0.052608337	-0.10386078	0.031273425	-3.6735725	12.521405	1.9111602	-0.19685033	0.21367106	-0.11789141	16	27	16	33
are solidary creatures because they fight if they are in groups . Also , they hunt during the day and sleep during the night	1748	-0.07945875	0.09729612	-0.1396134	-0.46752998	-2.108271	18.494566	0.29627746	-0.5179434	0.66147584	-1	35	-1	21
is written in Tamil script	916	-0.04562743	-0.102579445	0.19743831	-7.4627404	1.9292812	-9.139529	-0.18620917	-0.98970646	0.17392388	18	31	-1	25
depends upon weather . If weather changes , automatically climate also changes . It is determined by the location of the region on earth such as latitude , position relative to oceans or continents , altitude , movements of Earth\\u2019s wind belts , topography , etc	798	0.06271825	-0.10183106	0.036158208	-4.3167973	11.086785	1.0723675	-0.19609204	0.21673746	-0.117060155	16	27	16	33
can be treated by the use of anti-inflammatory and pain medications and beta2-antagonists ( such as albuterol ) , that are inhaled	455	-0.08761774	-0.10950775	-0.18064268	9.673057	2.8569338	6.5384398	0.3066795	-0.5957677	0.6974222	-1	-1	-1	-1
overall , knowing makes you understand more people and at the same time be understood by even more people	1237	0.23807502	-0.032048773	-0.0309437	12.611853	-2.2686787	-0.034498386	-0.59204584	0.29000846	-0.21424232	8	7	-1	13
in , the arbitrator decides on the outcome of the dispute after hearing both sides . The resolution is called an award , which is final and legally binding	908	0.10844864	0.05441787	0.03733642	3.2498772	-6.1488957	-8.495786	0.06341122	0.5235008	0.06045696	-1	-1	-1	1
can take up to 600 shots on a full charge	1929	-0.008425086	-0.0057733757	-0.084517874	6.4637628	-3.836119	13.781863	-0.028864935	-0.5945543	-0.30672935	-1	-1	-1	38
can wait for a significant period without going bad because it is made from coagulated milk	395	0.24202566	-0.054833174	0.011433327	18.35694	-10.126416	-5.8808236	-0.5022539	-0.3095075	-0.40423703	7	6	5	14
, on the other hand , does not support heavyweight process forking so it is not the preferred choice of language for highly concurrent and scalable systems . It does not support multithreading and concurrency well so Python is in the downside , when it comes to big data projects	973	-0.13489749	-0.15396713	-0.19824094	9.755139	5.3459334	7.371295	0.36895335	-0.4564804	-0.1727627	3	17	6	40
the January 2017\\u201d forecast started at 3,600 which steadily increased to around 4,700 billion	1050	-0.16490375	0.14773418	-0.027808359	0.9490237	-10.382352	5.6894274	0.8229443	-0.19203025	0.14692217	-1	23	-1	-1
, someone from coming to Mumbai in December would feel as if he is facing summers , as winters in Delhi can be pretty harsh with temperatures down to 4 - 5 degrees Celsius	491	-0.0514227	-0.05291481	0.05884961	-10.83399	14.315489	4.7152286	-0.118681125	-0.76572675	-0.007254997	25	9	-1	15
is the exact temperature at a given amount	950	0.0538514	-0.10773135	0.035221957	-3.4377902	12.697712	1.2480055	-0.20344453	0.21856081	-0.11215897	16	27	16	33
towns	2046	-0.037503835	-0.035236686	0.0046370756	5.5211163	8.96109	-6.086836	0.3138973	-0.47640502	0.15721065	28	21	22	23
is facilitating with refined EJB - QL and hence database queries written are very flexible	1409	-0.05319534	-0.09831615	0.19585699	-7.553757	1.4600645	-8.992818	-0.14171346	-0.99008757	0.35663617	18	31	-1	25
structure	1519	-0.06719342	-0.03280132	0.16047303	-13.539645	10.247429	-11.185958	-0.035280846	0.33893886	-0.19370826	-1	-1	-1	-1
is somewhere between warm and cold	1115	0.102698274	0.16633822	0.018960698	-2.9317257	-7.5138593	-8.372666	0.26796904	0.57265985	-0.46784046	11	37	-1	3
involves thinking long term	899	0.05995421	-0.007239233	-0.07602935	5.4738765	-2.1059184	16.730038	-0.50023735	-0.37507197	0.3827391	17	-1	-1	-1
desk is hers	1439	0.2458888	-0.021504803	-0.02972798	11.275488	-7.718392	-0.65745455	-0.5919559	0.29187912	-0.40256205	8	7	7	13
as a serial have limited pages with cliffhangers	667	-0.0008435633	-0.0870841	0.011375074	9.676729	3.1222575	-9.507293	-0.07445637	0.7049929	0.39397418	-1	19	-1	-1
can be sold while fresh or even after processing	1615	0.24369054	-0.050710864	0.011360745	18.935452	-9.825903	-5.4252143	-0.5028851	-0.30511096	-0.4038549	7	6	5	14
in , the tongue often changes size and shape , the jaw also protrudes and the lips thicken	48	-0.07334621	-0.06527459	0.13747987	-5.5898848	5.7039256	-6.5979385	-0.15527774	-0.0739688	0.75145024	-1	30	10	36
selective Breeding	1964	0.005510892	0.033622023	0.007462759	-4.853762	-2.9296553	-6.960444	0.28600413	0.06967904	-0.7963631	14	-1	1	-1
simply measures the spread of data around the mean and is calculated by simply taking the square root of the variance . The value of standard deviation is always a non-negative value	663	-0.011449925	0.037637144	0.17193092	-12.171708	1.2033529	-5.9632473	-0.51845354	0.10229097	0.63753766	2	-1	-1	-1
displays signs gradually until medical intervention	1459	-0.113630064	0.113941684	-0.050752074	0.5827851	-4.442375	14.736004	0.28529406	-0.3510567	0.7202045	-1	-1	-1	-1
since are transmitted through the blood stream , these act on distant sites from where these are produced	1187	-0.11061371	0.10978441	0.042427603	-11.428417	-8.26147	0.47522295	0.95356715	-0.32915404	0.3257296	-1	4	-1	-1
but in there is no total control	1898	0.049200445	-0.116223566	-0.02433412	10.774337	2.0491252	-9.367892	-0.3549915	0.70012444	0.43297553	-1	19	-1	-1
the of 40 is from 12.5 to 16.3 mm 2 /s at 100 g	1081	-0.0767144	0.08441383	-0.16155316	0.16984779	-2.2867303	18.253569	0.36259148	-0.60598946	0.6878335	-1	35	-1	-1
the notation is primarily focused on modeling software system , but not designing a system	1153	0.027167773	0.24917288	-0.05946483	-1.2088476	-18.906607	-0.5537547	0.6468223	0.23268399	0.5155215	-1	22	-1	-1
desk is mine	1316	0.24391232	-0.023213496	-0.029097345	10.260293	-7.209464	-2.215906	-0.59367746	0.2893114	-0.40330812	8	7	7	13
manufacture	276	-0.03474986	-0.026273727	-0.08277463	4.101459	-0.04571734	-12.891261	-0.64244795	0.64699894	0.20069367	-1	11	-1	-1
the hoof tip belonging to the is somewhat blunted	788	-0.19889839	-0.068571694	-0.098865665	4.9401846	6.501921	14.804511	0.61976945	0.572093	0.15513155	-1	40	-1	-1
a may cease to exist when the owner is incapable of running the business and also in the event of death	2011	-0.13788354	-0.0043605645	0.0754997	-7.5268874	-0.8387921	-0.5297025	0.1270274	0.4544643	0.24285197	-1	26	19	-1
if it is cool over a season for several months then , we are talking about	1317	0.061794836	-0.10263525	0.032749087	-3.9232635	10.983858	1.8179312	-0.20116687	0.21433869	-0.12502198	16	27	16	33
gMO	1873	0.0032928707	0.035054274	0.009568026	-4.8378153	-2.9253728	-6.9600077	0.28876925	0.068072475	-0.79751724	14	-1	1	-1
is the aspect of being secure against unintended threats	1287	0.23248154	-0.019126311	-0.02407604	10.418934	-3.9591753	-0.0019755445	-0.5910137	0.28723302	-0.40187976	8	7	7	13
is the weather of a locality averaged over some period ( usually 30 years )	1594	0.051818386	-0.10208744	0.030101687	-3.2239823	11.377765	2.122508	-0.19705644	0.21291403	-0.11297817	16	27	16	33
an is the same , however it is typically not enforced by the law	1920	-0.01779408	-0.18087305	-0.17296712	11.35796	12.472354	2.0871606	0.5619663	-0.71991044	-0.17101571	4	15	4	7
if you were born a peasant ,	791	-0.04518972	-0.12867266	-0.011416787	-4.0440316	13.191084	4.890716	-0.80043954	0.12276537	0.55499256	-1	-1	-1	-1
has a greater value	692	-0.036340475	-0.09331026	-0.049097672	1.6195828	8.7576275	-3.3525915	0.25028262	-0.22940937	0.4119669	-1	-1	22	-1
the is symbolized by “ S 2	1064	-0.030344417	-0.09152416	0.10617803	-4.8499002	4.328552	-5.6596065	-0.29186127	-0.062355362	0.67264706	-1	30	10	36
does n’t become dry that soon	479	-0.04401405	0.07120634	0.0029323443	-12.465915	0.5331285	-0.6227305	0.29179955	0.21433091	0.22119713	14	33	-1	-1
coughing , wheezing , fast rate of breathing , difficulty breathing , cyanosis , and vomiting are symptoms seen in	494	0.019629577	-0.09100478	-0.12510833	8.5344	1.0295812	5.869884	0.30438745	0.29421848	0.4062999	-1	18	14	-1
the describes the more volatile forms of petroleum	60	0.24006999	-0.023287827	-0.027263884	9.54728	-4.8157682	-2.4465294	-0.47657797	0.4769193	-0.38814625	8	7	-1	13
while allowed us to swipe in two directions , either to unlock the phone or to open the camera	258	-0.07641716	-0.01367653	-0.07384249	3.7565129	7.425205	9.600483	0.68212473	0.3869843	0.050797794	-1	42	13	-1
agreement	641	-0.017186848	-0.18042308	-0.17383043	11.186362	12.693955	3.2746236	0.5628903	-0.71979445	-0.17297126	4	15	4	7
are the sins of our forefathers	1512	0.24524692	-0.020579228	-0.027661845	12.31329	-7.8746047	-2.7578995	-0.5901374	0.2891333	-0.40081266	8	7	7	13
the ‘ clause is used to specify certain matching conditions and is nothing to with the Truncate . As Truncate never looks for any matching conditions and it just removes all the rows , we could not use a ‘ Where ’ clause here	57	0.021635884	0.074536785	-0.07088904	7.617369	-10.571546	11.152742	-0.062494647	0.62226284	0.36882454	14	32	-1	24
the end result of is a change of preference hence a purchase	1256	-0.05105661	-0.13871755	0.11986847	1.5919466	5.343984	-13.273926	0.06432401	-0.12652317	0.7484524	-1	11	10	18
: The symptoms of turf toe include sudden acute pain at the time of the trauma , local swelling , limp	263	-0.10291507	0.073026046	0.040444594	-10.979685	7.04622	6.5497284	0.3390175	0.85848284	-0.6044638	26	9	-1	17
believed that most people were destined for eternal damnation while some were chosen by God for salvation . The chosen few went through a process of conversion by testifying and exercising holy behavior	536	-0.0047511947	0.09410636	0.082175456	-18.357807	-2.1787634	-3.7700317	-0.43400034	0.13836554	0.3044623	13	2	-1	29
is a sweetened frozen food that is normally taken as a dessert or snack . It is usually made from cream or milk and often combined with other ingredients like fruits and flavors	1606	0.057561673	0.13391	0.05641974	4.094514	-8.178592	-15.144692	0.059784997	0.017722601	0.08140159	12	13	20	1
, a connection is first made to the email server , and then the content requested by the user is obtained and cached locally . A copy of all the email messages is then transferred to your local machine or device and the changes done by the user are then processed and the actions are mirrored on the email server	1435	0.057021562	-0.087878875	-0.13836806	16.285982	3.1229599	4.392339	-0.4588282	-0.27978942	0.13237491	-1	0	-1	5
describes a moderate cold temperature	1680	0.11125109	0.17692806	0.02329413	-2.7452524	-7.8068666	-8.669882	0.26753557	0.57470983	0.0710744	11	37	-1	3
is the creation ( in extension , the founder of Islam )	220	0.13972278	-0.011364227	0.059890453	8.887347	-6.2327046	-16.906017	-0.48505285	0.95651895	0.47821805	5	14	-1	2
are old shoes	399	0.18974252	0.045073416	0.00018243512	5.5029244	-10.6145	-8.24217	-0.053727888	0.5000755	-0.15174668	6	24	15	11
a is one in which most or all of the members of the political party are chosen . These are the elections that are held for the nation ’s primary legislative body . General elections have a slightly different connotation in presidential systems ; they refer to an election process that is regularly scheduled and is one in which the president as well as either of a class or the whole group of members of the national legislature are elected . There may also be elections for local offices on the day of the general elections	145	0.24731113	-0.021321978	-0.03024817	11.177654	-8.902166	-0.9965182	-0.5918347	0.17614153	-0.40372786	8	7	8	13
government	1032	-0.019914309	-0.079201564	0.21017338	-10.112025	8.6295185	-13.447142	-0.11700463	-0.12821317	-0.01626718	18	10	-1	28
they have different origins comes from Anglo-French	33	0.015577729	-0.19456373	0.07780725	-2.2601695	12.553393	-14.978276	-0.71067804	-0.38964045	0.74430156	-1	-1	-1	-1
focuses on trade policies between countries	436	-0.085148536	-0.057394996	0.09725115	1.2449794	14.37539	-7.5219464	-0.1291653	0.0033601942	0.67157274	-1	8	10	27
the worst case of , on the other hand , occurs when it has to do maximum number of comparisons . Considering the linear performance for merging , the worst case performance of the Merge Sort is O ( n log 2 n )	734	0.2019545	0.08540734	0.031518433	5.312258	-11.016696	-11.63128	0.09167854	-0.7272925	-0.13395059	-1	-1	-1	-1
paneer	755	0.23925373	-0.051930822	0.010439678	19.238451	-9.599796	-5.7428093	-0.5916861	-0.49142966	-0.40442553	7	6	-1	14
for example , if it is cool on a particular day then , we are talking about	1838	0.05481106	-0.10379698	0.03660775	-3.5424132	12.010914	2.1605556	-0.19778372	0.21522118	-0.1176902	16	27	16	33
is a measure of the greenhouse effect	1427	-0.06701228	-0.09132205	-0.15350616	6.8471403	5.5697427	5.490723	0.2961188	0.42510876	0.37944505	-1	-1	14	-1
food is better	945	0.24565676	-0.021772716	-0.02832462	13.284134	-7.778123	-1.5809765	-0.5908412	0.2925148	-0.40443945	8	7	7	13
the belongs to the feline family ,	34	-0.07669314	-0.106829934	0.13378938	-1.1341345	14.742443	-8.101285	-0.13442266	0.66905475	0.75685877	-1	8	-1	-1
down the road	1126	0.24556911	-0.02182054	-0.028093532	11.521695	-7.709697	-1.4498929	-0.59282786	0.29164258	-0.40321615	8	7	7	13
the class provides a map implementation that is based on a Hashtable data structure . This implementation supports all Map operations and allows multiple null values but only one null key so that it could maintain unique key properties . However , it makes no guarantees on the order in which the entries are stored	1238	0.042412933	0.011594811	0.032751538	12.752516	9.827353	-5.7083573	-0.41922274	-0.061867047	0.33349594	-1	20	-1	10
bark , growl and woof	1660	0.053675417	-0.15196769	-0.0373198	3.79367	13.527072	2.5972931	-0.3258373	0.0049398025	-0.17804447	-1	-1	-1	-1
cellular	859	0.06267811	-0.0026101237	-0.09433856	6.616455	-5.1629214	13.270606	-0.031558342	0.11564607	-0.2921912	17	32	-1	-1
is also known as ‘ Coca - Cola light ’ in some countries and it is the No . 3 soft drink in the world . It is preferred by people who want no calories , but plenty of taste . Diet coke comes in many different flavours such as Black Cherry Cola Vanilla , Cola , Cola Green Tea , Cola Lemon , Cola Lemon Lime , Cola Lime , Cola Orange and Cola Raspberry	646	-0.107136264	0.031717815	0.14809759	-5.583687	-3.3668702	0.5525135	0.18354839	0.4454204	0.2432794	-1	25	19	-1
generally is a more casual word	474	0.24540085	-0.021310078	-0.030702192	11.746578	-7.921018	1.3356732	-0.55693215	0.48105	-0.39402682	8	7	-1	13
custard	1489	0.059480194	0.13259025	0.05230214	3.8366206	-8.744778	-14.761485	-0.056036636	-0.16838224	0.06640052	12	13	-1	1
is an up - down movement	1334	0.19593848	0.054247078	-0.014586299	6.7560725	-11.167386	-8.3357	-0.028614089	0.49454156	0.039255615	6	24	15	11
: Turf toe is most common in sports played on artificial terrain , like football , rugby , gymnastics , athletics , and martial arts	863	-0.10318301	0.07473553	0.040153854	-11.430604	7.3669734	6.4327655	0.33638272	0.856411	-0.6048783	26	9	-1	17
run on the JVM	1053	-0.064375356	-0.06773754	-0.04306074	-11.778321	14.668729	2.969669	-0.38433248	-0.27145314	0.5234896	-1	9	-1	-1
beware while buying an wedding gown without a sample or trial or based on a trial from a wedding gown from any other designer or manufacturer as the shades of ivory differ from manufacturer to manufacturer	362	0.007429839	-0.09822312	-0.034253355	1.1033223	12.698791	8.114448	-0.25143144	0.11910623	0.12970945	22	41	18	41
cooked by my mother	1402	0.24323289	-0.0234355	-0.027044972	12.09648	-6.0729456	-0.911863	-0.59211	0.2897643	-0.40338978	8	7	7	13
include : Taoism , Buddhism , Hinduism , Sikhism , and Confucianism	515	-0.118457496	-0.0067540915	0.0021971231	-6.896368	2.394535	10.971089	0.038067855	0.36461776	-0.18871035	21	34	16	39
no collateral is involved in a	1331	-0.04950901	0.009109147	-0.074055575	3.1347942	5.463175	7.081332	0.6635388	-0.362075	0.51384354	-1	-1	-1	-1
has fixed sources , the sources of tax vary according to the needs	941	-0.1651241	0.046181373	-0.057589997	-5.4919004	-11.130022	14.249169	0.51990014	0.30957562	-0.564405	-1	16	-1	-1
is the process of changing a liquid into gas . This is done by applying heat to the liquid so the molecules at the surface easily changes into vapor	213	-0.008869267	-0.06552649	0.11062414	-0.5284385	16.480906	-5.2302866	-0.59570813	0.6608805	0.68917805	-1	8	-1	-1
, on the other hand , is a relative newcomer to the Web-scripting scene but has been around for quite some time now	1411	-0.12917587	-0.15043405	-0.19283466	9.331087	6.1134048	7.4147377	0.52583987	-0.037991673	0.11286902	3	17	-1	40
refers to the logical process of drawing specific conclusions from general statements/observations	38	-0.10864713	0.10255334	0.0334451	-11.29634	-8.192073	0.32491273	0.8327978	-0.33529887	0.33222565	-1	4	-1	-1
is BHP less the power losses	477	0.06261288	0.19959816	0.016505664	-2.1206174	-19.284184	-2.5125437	0.66127	0.4526988	0.52230835	-1	22	11	4
had a unique curved top	726	-0.016558604	-0.1920586	-0.1834123	12.08536	13.26944	2.5592837	0.78782845	-0.03303309	-0.14497533	4	15	-1	7
have one owner	1426	0.20132376	0.04488304	0.11883164	6.1339364	-6.6269274	-7.2773643	0.5930809	-0.3476682	0.727417	-1	-1	-1	-1
water	1527	0.2442017	-0.024922643	-0.030810514	12.742788	-4.9649577	1.5631019	-0.59675163	0.104407385	-0.4054754	8	7	8	13
mandarin	418	0.2418071	-0.028631905	-0.029309994	12.786907	-2.682857	-0.6614141	-0.59144473	0.1059919	-0.4031025	8	7	8	13
travel in herds	837	-0.07576357	0.028818313	-0.057594564	0.26194996	8.085689	10.170571	-0.32279393	-0.05778639	0.2937001	-1	43	18	42
‘ embrace ’	1677	0.2440606	-0.010411539	-0.027189473	9.144782	-7.5374727	1.4479303	-0.59343845	0.48024163	-0.40702528	8	7	-1	13
can refer to the approach as well as the tool ( which is also a computer program like HRMS )	1134	-0.13590918	0.13865754	0.024759699	-7.740921	-6.589098	4.131868	0.34774566	-0.35109353	0.708262	-1	25	-1	-1
is focused on small to medium enterprise businesses	2088	-0.010843617	-0.07536448	0.20513241	-9.8535185	10.411128	-11.371791	-0.12166873	0.601439	0.68292093	18	10	-1	28
over there is yours	700	0.24759154	-0.021074628	-0.030615697	12.618242	-8.06819	-0.43831024	-0.59141254	0.28908044	-0.40403965	8	7	7	13
where all the apps were stuffed in a single page	817	-0.069768585	0.022354025	-0.07148313	3.252252	6.905652	8.945601	0.68941236	0.20309545	0.19290532	32	-1	-1	-1
